problemType,algorithmType,numberOfStepRepetitions,problemSize,lambda,beginFitness,endFitness,probabilityEnumerationStrategy,fitness,bestProbability,optimizationTime
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,99,0.1,10000.0000000011
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,99,0.2,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,99,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,99,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,99,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,99,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,99,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,99,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,99,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,98,0.1,16249.999999996126
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,98,0.2,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,98,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,98,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,98,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,98,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,98,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,98,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,98,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,97,0.1,19134.615384609482
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,97,0.2,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,97,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,97,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,97,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,97,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,97,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,97,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,97,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,96,0.1,19982.287449387604
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,96,0.2,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,96,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,96,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,96,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,96,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,96,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,96,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,96,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,95,0.1,20479.05323653487
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,95,0.2,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,95,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,95,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,95,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,95,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,95,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,95,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,95,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,94,0.1,20897.520242910145
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,94,0.2,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,94,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,94,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,94,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,94,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,94,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,94,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,94,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,93,0.1,21120.87630717164
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,93,0.2,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,93,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,93,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,93,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,93,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,93,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,93,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,93,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,92,0.1,21257.278156743192
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,92,0.2,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,92,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,92,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,92,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,92,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,92,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,92,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,92,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,91,0.1,21357.08654050892
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,91,0.2,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,91,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,91,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,91,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,91,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,91,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,91,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,91,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,90,0.1,21419.805969100376
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,90,0.2,33857.086540522054
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,90,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,90,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,90,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,90,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,90,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,90,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,90,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,89,0.1,21460.766913650485
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,89,0.2,46419.80596905395
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,89,0.30000000000000004,1.7976931348623157E308
